,importance
weather_severity_score,0.023284356963522115
traffic_congestion_level,0.050142883406564046
port_congestion_score,0.05879569559823339
disruption_impact_score,0.044511734282696315
carrier_reliability_score,0.0461987127847853
historical_delay_rate,0.06997494662100313
route_risk_score,0.09128104211749892
days_in_transit,0.04639144032348523
planned_transit_days,0.01196590818695527
package_weight_kg,0.06024921548196664
num_stops,0.011691255683583923
customs_clearance_flag,0.02183755183347992
transit_progress_ratio,0.12387686960821957
composite_risk_score,0.2168694571107998
carrier_enc,0.006372380794883956
transport_enc,0.0030510623098348286
origin_enc,0.005736139501142669
destination_enc,0.002554967441055588
status_enc,0.001358919488369614
weather_enc,0.001991259981890636
disruption_enc,1.6177024004761355e-05
log_weight,0.06936001216834266
sla_pressure,0.03248801128768162
