shipment_id,origin,destination,carrier,transport_mode,shipment_date,planned_eta,planned_transit_days,days_in_transit,shipment_status,package_weight_kg,num_stops,customs_clearance_flag,weather_condition,weather_severity_score,traffic_congestion_level,port_congestion_score,disruption_type,disruption_impact_score,carrier_reliability_score,historical_delay_rate,route_risk_score,delay_probability,is_delayed,actual_delay_hours,transit_progress_ratio,composite_risk_score,log_weight,sla_pressure,carrier_enc,transport_enc,origin_enc,destination_enc,status_enc,weather_enc,disruption_enc
SHP100000,Dubai,New York,FedEx,Road,2023-04-15,2023-04-18,0.030303030303030304,0.02564102564102564,Customs Hold,0.2781187607779747,1.0,0.0,Rain,0.16105263157894736,0.75,0.7777777777777777,Port Strike,0.9199999999999999,0.6740088105726869,0.41842105263157897,0.7142857142857142,0.9931,1,73.8,0.16666666666666666,0.5782523180668728,0.8355560240353067,0.2,0.4,0.6666666666666666,0.0,0.4,0.25,0.6666666666666666,0.75
SHP100001,Hamburg,Singapore,Maersk,Road,2023-12-11,2023-12-20,0.2121212121212121,0.1282051282051282,Out for Delivery,0.8294309229347299,0.5,0.0,Rain,0.2431578947368421,1.0,0.8888888888888888,Port Strike,0.9470000000000001,0.41409691629955914,0.3789473684210527,0.5428571428571427,1.0,1,58.0,0.2777777777777778,0.6719584152851925,0.9759589092288194,0.4,0.6000000000000001,0.6666666666666666,0.2,0.6000000000000001,1.0,0.6666666666666666,0.75
SHP100002,Dubai,New York,FedEx,Sea,2023-04-14,2023-05-10,0.7272727272727273,0.2564102564102564,Out for Delivery,0.37940271514938123,0.75,0.0,Clear,0.0,0.25,0.2222222222222222,Port Strike,0.867,0.6123348017621142,0.7289473684210526,0.5999999999999999,0.8942,1,60.5,0.19230769230769232,0.3788283225625176,0.8754442964938689,1.0,0.4,1.0,0.0,0.4,1.0,0.16666666666666666,0.75
SHP100003,Shanghai,London,FedEx,Road,2023-08-05,2023-08-15,0.24242424242424243,0.358974358974359,Delayed,0.9973812772325162,0.25,0.0,Heavy Rain,0.5515789473684211,0.875,0.5555555555555556,None,0.0,0.6828193832599121,0.5842105263157894,0.7428571428571427,0.969,1,50.2,0.7,0.3614779432424839,0.9996629041485876,0.0,0.4,0.6666666666666666,1.0,0.2,0.5,0.5,0.5
SHP100004,Shanghai,New York,FedEx,Sea,2024-09-02,2024-10-02,0.8484848484848486,0.8461538461538461,Customs Hold,0.2934309869523989,0.0,0.0,Blizzard,0.9936842105263157,0.25,0.5555555555555556,Natural Disaster,1.0,0.6519823788546253,0.2657894736842105,0.7142857142857142,1.0,1,46.8,0.55,0.7091177296993538,0.842438698181737,0.0,0.4,1.0,1.0,0.4,0.25,0.0,0.25
SHP100005,Dubai,Singapore,UPS,Sea,2024-10-16,2024-11-07,0.6060606060606062,0.4358974358974359,At Port,0.05781595720418836,0.25,0.0,Clear,0.04421052631578947,0.5,0.4444444444444445,Traffic Jam,0.361,0.7973568281938324,0.3631578947368421,0.1428571428571428,0.534,1,7.3,0.38636363636363635,0.2435375105366676,0.6342734277130652,0.5,0.8,1.0,0.0,0.6000000000000001,0.0,0.16666666666666666,1.0
SHP100006,Mumbai,New York,DB Schenker,Sea,2024-07-16,2024-08-11,0.7272727272727273,0.3076923076923077,Customs Hold,0.33802529498141487,0.0,0.0,Snow,0.6494736842105263,0.5,0.3333333333333333,Natural Disaster,1.0,0.409691629955947,0.12105263157894738,0.42857142857142855,0.9433,1,55.6,0.23076923076923078,0.6281258780556336,0.8606100627966577,1.0,0.0,1.0,0.6000000000000001,0.4,0.25,0.8333333333333333,0.25
SHP100007,Shanghai,New York,XPO Logistics,Air,2023-12-05,2023-12-07,0.0,0.1794871794871795,Customs Hold,0.6589778778942988,0.0,0.0,Clear,0.046315789473684206,0.375,0.1111111111111111,None,0.0,0.2643171806167395,0.40789473684210525,0.7142857142857142,1.0,1,44.1,1.0,0.09602416409103681,0.9463888639497846,0.0,1.0,0.0,1.0,0.4,0.25,0.16666666666666666,0.5
SHP100008,Mumbai,Singapore,FedEx,Air,2023-04-22,2023-04-25,0.030303030303030304,0.1794871794871795,In Transit,0.8360547511113068,1.0,0.0,Storm,0.8378947368421052,0.0,0.0,Traffic Jam,0.43600000000000005,0.6872246696035242,0.55,0.45714285714285713,1.0,1,89.4,1.0,0.3642174768193313,0.9769813982748137,0.0,0.4,0.0,0.6000000000000001,0.6000000000000001,0.75,1.0,1.0
SHP100009,Hamburg,London,Maersk,Rail,2023-03-02,2023-03-15,0.3333333333333333,0.20512820512820512,Delayed,0.06084879426721775,1.0,0.0,Rain,0.18842105263157893,0.5,1.0,Natural Disaster,0.9800000000000001,0.48017621145374445,0.968421052631579,0.0,0.905,1,10.1,0.3076923076923077,0.6136555212138242,0.6408026821185226,0.5,0.6000000000000001,0.3333333333333333,0.2,0.2,0.5,0.6666666666666666,0.25
SHP100010,Rotterdam,Sydney,DB Schenker,Sea,2023-07-10,2023-07-30,0.5454545454545454,0.07692307692307693,In Transit,0.9347499909975154,0.5,0.0,Fog,0.4294736842105263,0.25,0.8888888888888888,None,0.0,0.5374449339207046,0.5842105263157894,0.6285714285714286,0.6868,1,45.5,0.075,0.26980893509412757,0.9913256086088598,1.0,0.0,1.0,0.8,0.8,0.75,0.3333333333333333,0.5
